gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_Category,TotalPaid,has_streaming,has_protection
0,0,0,0,0.41666666666666663,1,0,0,1,1,0,0,0,0,0,1,0,0.3686567164179104,0.17445188091391645,0,1,0.19403508771929825,0,1
1,0,1,1,0.6527777777777778,1,1,1,0,1,0,0,1,1,0,1,2,0.8069651741293532,0.545851603969536,1,2,0.5461345029239766,1,1
1,0,1,1,0.013888888888888888,0,0,0,0,1,0,0,0,0,0,0,2,0.11890547263681589,0.0013154858066005077,1,1,0.0035321637426900584,0,1
1,0,1,0,1.0,1,1,0,1,1,1,1,1,1,2,1,1,0.7164179104477612,0.7328236787445188,0,2,0.76,1,1
0,0,0,1,0.2361111111111111,1,0,0,0,0,0,0,1,1,0,1,3,0.4621890547263682,0.12396722824832679,1,1,0.1286432748538012,1,0
0,1,1,0,0.986111111111111,1,1,1,1,1,1,1,0,0,2,1,1,0.7771144278606964,0.778692591737826,0,2,0.8000994152046783,0,1
1,1,1,0,0.027777777777777776,1,0,1,0,0,1,0,1,1,0,1,1,0.7686567164179104,0.01879183014078006,0,2,0.022339181286549707,1,1
0,0,1,1,0.375,1,0,0,1,1,1,1,0,0,1,0,3,0.47661691542288565,0.21412993307177478,0,1,0.2088947368421053,0,1
1,0,0,0,0.013888888888888888,1,0,2,0,0,0,0,0,0,0,0,0,0.019402985074626844,0.0001615508885298867,0,0,0.0023625730994152046,0,0
1,1,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0,0,0,0.26865671641791045,0.003052157858296792,0,1,0.005292397660818714,0,0
0,0,1,1,1.0,1,1,1,1,1,0,1,1,0,2,0,0,0.8124378109452737,0.8346295868912993,0,2,0.8412631578947369,1,1
1,0,0,0,0.06944444444444445,1,0,1,0,0,0,0,0,0,0,1,2,0.5119402985074627,0.034398799907685206,1,1,0.040760233918128656,0,0
0,0,0,0,0.6388888888888888,1,0,1,0,0,1,0,0,0,0,1,1,0.5626865671641791,0.40728132933302563,0,2,0.4024327485380117,0,1
1,0,0,0,0.4722222222222222,1,1,1,0,1,1,0,1,1,0,1,2,0.8766169154228854,0.4073909531502423,1,2,0.42291228070175435,1,1
0,0,0,0,0.15277777777777776,1,1,1,0,0,1,0,1,1,0,1,0,0.7920398009950248,0.12538656819755367,1,2,0.12588888888888888,1,1
1,0,1,1,0.1388888888888889,1,0,0,0,1,0,0,0,0,1,0,3,0.3114427860696517,0.05272328640664667,0,1,0.057953216374269007,0,1
0,0,1,1,0.9722222222222222,1,1,0,1,1,0,0,1,0,2,1,1,0.5069651741293533,0.5600680821601662,0,1,0.5665497076023392,1,1
0,0,1,1,0.2361111111111111,1,0,2,0,0,0,0,0,0,1,0,3,0.02487562189054726,0.04609393030233095,0,0,0.04125730994152047,0,0
0,0,0,0,0.875,1,1,0,1,1,1,1,1,0,2,1,1,0.6129353233830845,0.5588102930994692,0,2,0.5883684210526315,1,1
0,0,1,0,0.18055555555555555,1,1,0,1,1,0,1,1,0,0,1,2,0.5766169154228856,0.11108354488806832,0,2,0.11585964912280702,1,1
0,0,0,0,0.6805555555555555,1,1,1,0,0,0,0,0,1,0,1,2,0.6592039800995024,0.44863835679667663,0,2,0.48426900584795324,1,0
1,0,0,0,0.027777777777777776,1,0,0,0,1,0,0,0,0,0,0,3,0.30845771144278605,0.009023771059312256,0,1,0.011520467836257311,0,1
0,0,0,0,0.027777777777777776,1,0,1,0,0,0,0,1,0,0,1,2,0.6208955223880598,0.014464574198015234,1,2,0.018865497076023394,1,0
1,0,0,0,0.7222222222222222,1,1,0,1,0,0,1,1,1,2,1,1,0.6119402985074627,0.4845372720978537,0,2,0.48502923976608187,1,1
0,0,1,1,0.9583333333333333,1,1,0,1,0,1,1,0,0,2,1,1,0.4567164179104478,0.4887260558504501,0,1,0.517701754385965,0,1
0,1,0,0,0.5972222222222222,1,1,1,0,1,0,0,1,0,0,1,2,0.7164179104477612,0.4407973690283868,0,2,0.4538888888888889,1,1
0,0,0,0,0.20833333333333331,1,0,1,1,1,0,0,1,1,0,1,1,0.8044776119402984,0.1624278790676206,1,2,0.17385964912280702,1,1
0,1,1,0,0.3472222222222222,1,1,0,1,0,0,1,1,0,0,1,1,0.5099502487562189,0.2000750057696746,0,1,0.20321637426900585,1,1
0,1,1,0,0.1111111111111111,1,1,1,0,1,0,0,0,0,0,1,1,0.6208955223880598,0.07090930071543965,1,2,0.07546198830409358,0,1
0,1,1,1,0.8333333333333333,1,0,0,1,1,1,1,0,1,1,1,1,0.56318407960199,0.5120643895684284,0,2,0.5252631578947369,1,1
1,1,0,0,0.25,1,1,1,0,0,0,0,1,1,0,1,2,0.7681592039800995,0.20006346642049389,1,2,0.20094736842105265,1,0
0,0,1,1,0.875,1,1,1,1,0,0,0,1,1,1,1,1,0.8099502487562189,0.7261020078467574,0,2,0.734263157894737,1,1
1,1,1,1,0.9166666666666666,1,1,1,0,1,1,1,1,1,1,1,2,0.8975124378109453,0.8143953381029311,0,2,0.8371578947368421,1,1
0,0,1,1,0.4722222222222222,1,1,2,0,0,0,0,0,0,2,0,1,0.06666666666666665,0.10102700207708286,0,0,0.09921637426900584,0,0
0,0,0,0,1.0,1,1,1,0,0,1,1,1,1,2,1,1,0.8880597014925372,0.9040964689591507,0,2,0.9052631578947369,1,1
0,0,1,0,0.6527777777777778,1,1,1,0,0,1,0,1,1,0,1,2,0.818407960199005,0.5409993076390492,0,2,0.5524561403508772,1,1
1,0,0,0,0.8333333333333333,1,1,1,0,1,0,0,1,0,0,1,0,0.7129353233830846,0.6268059081467805,0,2,0.6308771929824561,1,1
1,0,1,0,1.0,0,0,0,1,1,1,0,0,0,2,0,0,0.2373134328358209,0.3396261250865451,0,1,0.35452631578947374,0,1
0,0,1,1,0.25,1,0,0,0,0,1,1,0,0,1,1,1,0.3597014925373134,0.10827371336256636,0,1,0.11452631578947368,0,1
0,0,0,0,0.125,1,1,1,0,0,0,0,1,1,0,0,2,0.7577114427860697,0.0967516732056312,1,2,0.09936842105263159,1,0
0,0,0,0,0.041666666666666664,1,0,0,0,1,0,1,1,1,0,1,2,0.5676616915422885,0.025998153704131086,0,2,0.026421052631578946,1,1
1,0,1,0,0.6527777777777778,1,1,1,0,1,0,0,0,0,1,1,2,0.6034825870646766,0.41905723517193627,0,2,0.43371929824561406,0,1
0,0,0,0,0.4305555555555555,1,0,0,0,1,1,1,1,1,2,0,3,0.6064676616915423,0.28599123009462263,0,2,0.28715789473684217,1,1
0,0,1,1,0.6944444444444444,1,0,2,0,0,0,0,0,0,2,0,0,0.018905472636815884,0.10525040387722133,0,0,0.11783625730994152,0,0
1,0,0,0,0.1388888888888889,1,0,1,1,0,1,0,0,0,0,1,3,0.6129353233830845,0.10022501730902378,0,2,0.09339181286549708,0,1
1,0,0,0,0.013888888888888888,1,0,0,0,0,0,1,0,0,0,0,3,0.30646766169154227,0.0034906531271636275,0,1,0.005736842105263157,0,1
0,0,1,1,0.7222222222222222,1,0,2,0,0,0,0,0,0,1,1,2,0.021393034825870627,0.12368451419339951,0,0,0.1240701754385965,0,0
1,1,1,1,0.8888888888888888,1,1,1,1,0,1,1,1,1,2,1,0,0.9288557213930347,0.8170090006923609,0,2,0.8353684210526315,1,1
1,0,1,1,0.861111111111111,1,1,2,0,0,0,0,0,0,2,1,0,0.05970149253731341,0.16222017078236786,0,0,0.17584795321637428,0,0
0,0,0,1,0.041666666666666664,1,0,0,1,0,0,1,0,1,0,1,0,0.46019900497512434,0.018301407800600047,0,1,0.022631578947368423,1,1
0,1,0,0,0.7777777777777777,1,1,1,1,1,1,0,1,1,1,0,2,0.917910447761194,0.7062889453034848,0,2,0.7237426900584796,1,1
0,0,0,0,0.6388888888888888,1,0,0,0,0,0,0,0,1,1,0,1,0.37213930348258706,0.30810639279944607,0,1,0.29940350877192984,1,0
0,0,1,1,0.1111111111111111,1,0,0,1,1,0,0,0,0,0,0,3,0.3621890547263681,0.05347911377798293,0,1,0.05113450292397661,0,1
1,1,0,0,0.41666666666666663,1,0,0,1,1,0,0,1,1,0,1,2,0.5621890547263682,0.24146088160627743,0,2,0.262280701754386,1,1
0,0,1,1,0.625,1,1,2,0,0,0,0,0,0,1,1,1,0.07611940298507458,0.13821832448649896,0,0,0.13631578947368422,0,0
0,0,0,1,0.013888888888888888,1,0,1,0,0,0,0,1,0,0,1,2,0.607960199004975,0.006987075928917609,1,2,0.009280701754385964,1,0
0,0,1,1,0.15277777777777776,0,0,0,1,0,0,0,1,1,0,0,2,0.32139303482587056,0.06306831294714979,0,1,0.06503508771929824,1,1
0,0,1,0,0.09722222222222221,1,0,1,0,0,1,0,0,0,0,1,0,0.5661691542288557,0.055169628432956384,1,2,0.06152631578947369,0,1
0,0,0,0,0.5833333333333333,1,0,1,0,1,1,1,1,1,0,1,0,0.8512437810945274,0.4971959381490884,0,2,0.5098947368421052,1,1
0,0,1,0,0.6805555555555555,1,0,2,0,0,0,0,0,0,2,1,0,0.018905472636815884,0.11014885760443112,0,0,0.11547953216374268,0,0
1,0,0,0,0.125,1,1,1,0,1,0,0,1,1,0,1,1,0.8064676616915423,0.10384837295176552,0,2,0.10452631578947368,1,1
0,0,1,0,0.4861111111111111,1,0,0,1,0,0,0,1,0,1,1,0,0.43681592039800987,0.2534791137779829,0,1,0.2544152046783626,1,1
0,0,1,1,0.6666666666666666,1,0,2,0,0,0,0,0,0,2,0,0,0.023880597014925342,0.11980152319409186,0,0,0.11592982456140351,0,0
0,0,1,1,0.6388888888888888,1,0,2,0,0,0,0,0,0,2,1,3,0.01691542288557213,0.1048119086083545,0,0,0.10733333333333334,0,0
1,0,1,0,0.40277777777777773,0,0,0,0,0,0,0,1,0,0,0,3,0.154228855721393,0.11429148396030464,0,1,0.11447368421052632,1,0
1,0,1,1,0.41666666666666663,1,0,1,0,1,1,0,0,0,0,0,0,0.6348258706467661,0.29441495499653814,0,2,0.28789473684210526,0,1
1,1,0,0,0.013888888888888888,1,0,1,0,0,0,1,0,0,0,0,2,0.5616915422885572,0.006450496192014771,0,2,0.00873684210526316,0,1
1,0,1,1,0.9166666666666666,1,1,0,1,0,1,1,1,1,2,1,3,0.654228855721393,0.6572178629125317,0,2,0.648421052631579,1,1
0,0,0,0,0.9027777777777777,1,1,1,1,1,1,0,1,1,0,1,1,0.9233830845771144,0.8179321486268175,0,2,0.8442397660818713,1,1
1,0,0,0,1.0,1,1,1,0,1,1,0,1,1,2,1,0,0.8223880597014926,0.8585564274174937,0,2,0.8496842105263158,1,1
0,0,0,0,0.16666666666666666,1,1,1,1,0,0,0,0,0,0,1,2,0.6039800995024875,0.10484075698130627,1,2,0.11080701754385966,0,1
1,0,1,1,0.986111111111111,1,1,0,1,1,0,1,0,0,1,1,1,0.4835820895522387,0.545799676898223,0,1,0.5551286549707601,0,1
1,0,0,0,0.06944444444444445,1,0,2,0,0,0,0,0,0,0,0,3,0.027860696517412936,0.010968151396261252,1,0,0.012309941520467837,0,0
1,0,0,0,0.7222222222222222,1,0,2,0,0,0,0,0,0,2,0,0,0.027363184079601977,0.12559427648280638,0,0,0.12771929824561404,0,0
0,1,1,0,0.3472222222222222,1,0,1,0,1,1,0,1,1,0,1,2,0.7985074626865671,0.2879875375028848,1,2,0.2880116959064328,1,1
1,0,0,0,0.013888888888888888,1,0,2,0,0,0,0,0,0,0,0,3,0.019402985074626844,0.0001615508885298867,0,0,0.0023625730994152046,0,0
0,0,1,1,0.013888888888888888,1,0,2,0,0,0,0,0,0,0,0,2,0.011940298507462671,7.500576967459007e-05,0,0,0.0022748538011695906,0,0
1,0,0,0,0.5277777777777778,1,1,1,0,0,1,1,1,0,1,0,0,0.763681592039801,0.41389337641357027,0,2,0.4222222222222222,1,1
0,1,1,0,0.9166666666666666,0,0,0,0,1,1,0,1,0,1,0,0,0.2716417910447761,0.3471555504269559,0,1,0.35161403508771927,1,1
1,0,1,0,0.9444444444444444,1,1,1,0,1,1,1,1,1,2,1,0,0.9129353233830845,0.8761885529656128,1,2,0.8748538011695907,1,1
1,0,0,0,0.06944444444444445,0,0,0,0,0,0,0,0,0,0,0,3,0.06019900497512437,0.009393030233094853,0,0,0.014210526315789474,0,0
0,0,1,1,1.0,1,1,1,1,1,0,0,1,1,1,1,2,0.854726368159204,0.840555042695592,0,2,0.8770526315789474,1,1
0,0,0,0,0.4444444444444444,0,0,0,1,0,0,0,0,0,1,0,3,0.11840796019900496,0.10487537502884837,0,1,0.1128421052631579,0,1
1,0,0,0,0.5972222222222222,1,1,1,0,0,0,0,1,1,1,0,3,0.7572139303482587,0.4503231017770598,0,2,0.47450877192982455,1,0
1,0,1,1,1.0,1,0,2,0,0,0,0,0,0,2,0,1,0.011442786069651711,0.15514078006000462,0,0,0.16336842105263158,0,0
1,0,1,0,0.7638888888888888,1,1,1,1,1,0,0,1,0,0,1,2,0.7810945273631841,0.6023655665820448,1,2,0.6223684210526316,1,1
0,0,0,0,0.7222222222222222,1,0,0,1,0,1,1,0,0,1,0,1,0.3950248756218906,0.34888645280406183,0,1,0.35244444444444445,0,1
0,0,0,0,0.5972222222222222,1,0,1,0,1,1,0,1,0,0,1,2,0.7303482587064677,0.45410800830833137,0,2,0.4609298245614036,1,1
0,1,1,0,0.5138888888888888,1,1,1,0,0,0,0,0,0,0,1,2,0.5796019900497512,0.3287964458804523,1,2,0.3310526315789474,0,0
0,0,1,1,0.8888888888888888,0,0,0,0,1,0,1,1,1,2,1,2,0.36169154228855727,0.3928802215555043,0,1,0.40870175438596495,1,1
1,0,1,1,0.041666666666666664,1,0,1,1,1,0,0,1,0,0,0,2,0.7124378109452736,0.026494345718901455,0,2,0.03152631578947368,1,1
0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,2,0,0,0.127363184079602,0.12780406185091162,0,1,0.13073684210526315,0,1
0,0,1,1,0.1388888888888889,1,1,1,1,0,0,0,1,1,0,1,2,0.8159203980099502,0.12068428340641589,1,2,0.11725146198830409,1,1
0,0,0,0,0.5694444444444444,1,0,2,0,0,0,0,0,0,2,0,3,0.023880597014925342,0.09420147703669514,0,0,0.0990233918128655,0,0
1,0,1,1,0.375,1,1,1,0,1,0,1,0,0,0,1,1,0.6661691542288557,0.24611123932610202,0,2,0.2690526315789474,0,1
0,0,1,1,0.7777777777777777,1,1,1,0,0,1,0,1,1,1,1,1,0.8114427860696517,0.6342776367412878,0,2,0.6536608187134504,1,1
0,0,0,0,0.08333333333333333,1,0,2,0,0,0,0,0,0,0,0,3,0.024378109452736302,0.010841218555273483,0,0,0.014526315789473684,0,0
1,0,0,0,0.041666666666666664,1,1,1,0,0,0,0,0,0,0,1,2,0.5587064676616916,0.024319178398338335,1,2,0.02610526315789474,0,0
0,0,1,1,0.09722222222222221,1,0,0,1,0,0,0,0,0,0,0,3,0.32288557213930347,0.03825871220863144,0,1,0.041508771929824564,0,1
0,0,1,1,0.05555555555555555,1,0,2,0,0,0,0,0,0,0,0,3,0.025870646766169153,0.005088852988691437,0,0,0.009754385964912281,0,0
1,0,0,0,0.4583333333333333,1,0,1,1,0,0,1,1,0,2,1,2,0.7034825870646766,0.34720170782367876,0,2,0.34331578947368424,1,1
0,1,0,0,0.375,1,1,1,0,0,1,0,0,0,0,1,2,0.5950248756218905,0.24425340410800833,1,2,0.24647368421052632,0,1
1,0,1,0,1.0,1,1,2,0,0,0,0,0,0,2,1,0,0.0527363184079602,0.1967632125548119,0,0,0.19831578947368422,0,0
1,0,0,0,0.013888888888888888,1,0,2,0,0,0,0,0,0,0,0,3,0.014925373134328346,0.0001096238172167089,0,0,0.002309941520467836,0,0
1,1,0,0,0.986111111111111,0,0,0,1,1,0,0,1,1,1,1,2,0.3800995024875622,0.4577140549273021,0,1,0.4687660818713451,1,1
0,0,0,0,0.18055555555555555,1,1,1,0,0,0,0,0,1,0,1,2,0.6736318407960199,0.13810870066928227,0,2,0.13068421052631582,1,0
0,0,1,1,0.3472222222222222,0,0,0,1,1,1,0,1,1,0,1,1,0.4014925373134328,0.1712266328179091,1,1,0.17134502923976608,1,1
1,0,0,0,0.9305555555555555,1,0,0,0,0,0,1,0,0,2,0,0,0.32139303482587056,0.3740249249942303,0,1,0.3961228070175439,0,1
1,0,0,0,0.013888888888888888,0,0,0,0,0,0,0,0,1,0,1,2,0.17114427860696518,0.0019213016385875841,1,1,0.004146198830409357,1,0
1,0,0,0,0.027777777777777776,1,0,0,0,0,0,0,0,0,0,0,2,0.25970149253731345,0.007206323563351027,1,1,0.010374269005847954,0,0
0,0,0,0,0.5972222222222222,1,1,2,0,0,0,0,0,0,2,1,1,0.07412935323383085,0.13494114931917842,0,0,0.1292514619883041,0,0
0,0,0,0,0.3194444444444444,1,0,1,1,0,0,0,0,0,0,1,0,0.5646766169154228,0.20305792753288715,0,2,0.2017543859649123,0,1
0,0,1,1,0.8888888888888888,1,0,2,0,0,0,0,0,0,2,0,3,0.019402985074626844,0.14527463651050082,0,0,0.1512046783625731,0,0
1,0,0,1,0.7916666666666666,1,0,2,0,0,0,0,0,0,2,1,3,0.013432835820895522,0.13290445418878374,0,0,0.13066666666666668,0,0
0,1,1,0,0.013888888888888888,1,0,1,0,0,0,0,0,0,0,1,3,0.5194029850746269,0.005960073851834756,1,2,0.008239766081871346,0,0
0,1,1,1,1.0,1,1,0,1,1,1,1,1,1,2,1,1,0.6945273631840796,0.7393087929840757,0,2,0.7414736842105263,1,1
0,0,0,0,0.1111111111111111,1,1,0,1,0,0,1,0,1,0,0,2,0.5263681592039802,0.06287214401107778,1,2,0.06657309941520469,1,1
0,0,1,0,0.8472222222222222,1,1,1,0,1,0,0,1,1,2,1,0,0.8238805970149253,0.6868739903069467,0,2,0.7209415204678363,1,1
1,0,0,0,0.8888888888888888,1,1,1,1,1,0,0,0,0,1,1,1,0.6572139303482587,0.608152550196169,0,2,0.6310175438596491,0,1
1,1,1,0,0.986111111111111,1,1,2,0,0,0,0,0,0,2,0,0,0.056716417910447736,0.20048465266558968,0,0,0.19888304093567252,0,0
0,0,1,1,0.9027777777777777,1,1,1,1,1,0,1,1,0,2,1,1,0.8039800995024875,0.7382760212324024,0,2,0.7530116959064328,1,1
1,0,0,0,0.041666666666666664,1,0,2,0,0,0,0,0,0,1,0,3,0.013432835820895522,0.004909993076390492,0,0,0.0068771929824561415,0,0
1,0,0,0,0.013888888888888888,1,0,0,0,0,0,0,0,0,0,1,2,0.27263681592039796,0.0030983152550196165,1,1,0.005339181286549708,0,0
1,0,0,1,0.41666666666666663,1,0,0,0,1,1,0,1,0,1,0,1,0.46019900497512434,0.22053427186706673,0,1,0.22631578947368422,1,1
1,0,1,1,0.20833333333333331,1,0,0,0,1,1,1,0,1,0,1,3,0.5099502487562189,0.12146318947611356,0,1,0.12192982456140351,1,1
0,0,1,1,0.1111111111111111,1,0,0,0,0,0,1,1,1,0,1,2,0.5004975124378109,0.06295291945534273,0,1,0.06414035087719298,1,1
1,0,0,0,0.09722222222222221,1,1,1,0,0,0,0,1,1,0,0,3,0.763681592039801,0.07347103623355643,1,2,0.07777777777777778,1,0
0,0,1,1,0.9722222222222222,1,1,1,1,1,1,0,1,1,1,1,1,0.8945273631840797,0.9129644588045235,0,2,0.8854385964912281,1,1
1,0,1,1,0.861111111111111,1,0,0,1,1,1,1,1,1,2,0,2,0.6751243781094527,0.5996365105008078,0,2,0.6243508771929824,1,1
0,0,1,1,0.08333333333333333,1,0,2,0,0,0,0,0,0,0,0,3,0.014427860696517386,0.01092776367412878,0,0,0.01382456140350877,0,0
0,0,1,1,0.19444444444444442,1,0,1,0,0,0,0,0,1,0,1,0,0.6233830845771144,0.1308562197092084,0,2,0.13246783625730996,1,0
0,0,0,0,0.3055555555555555,1,1,1,0,0,0,0,1,0,0,1,0,0.6557213930348259,0.208071774751904,0,2,0.2165263157894737,1,0
1,0,1,1,0.3055555555555555,1,0,2,0,0,0,0,0,0,1,0,3,0.018905472636815884,0.0462843295638126,0,0,0.05184795321637427,0,0
1,0,1,1,0.2222222222222222,1,0,0,1,0,1,0,1,0,2,0,3,0.4577114427860697,0.11599353796445881,0,1,0.12023391812865497,1,1
1,0,0,0,0.1388888888888889,1,1,2,0,0,0,0,0,0,2,0,0,0.07412935323383085,0.02686360489268405,0,0,0.030058479532163743,0,0
0,0,0,1,0.18055555555555555,1,0,0,1,1,0,0,0,0,0,1,2,0.3756218905472637,0.08605469651511655,0,1,0.08514619883040936,0,1
0,0,1,0,0.2777777777777778,1,1,1,1,0,0,0,0,0,0,0,2,0.6383084577114428,0.18157742903300253,1,2,0.19274853801169592,0,1
0,0,0,0,0.027777777777777776,1,0,1,0,0,0,0,0,0,0,1,2,0.5119402985074627,0.013431802446342025,0,1,0.016304093567251463,0,0
1,0,0,0,0.736111111111111,1,1,0,0,1,1,1,0,1,2,1,0,0.5537313432835821,0.4545868912993307,0,2,0.45809356725146205,1,1
0,0,1,1,0.15277777777777776,1,0,2,0,0,0,0,0,0,1,0,3,0.023383084577114438,0.024821140087699055,0,0,0.02650292397660819,0,0
1,0,1,0,0.9583333333333333,1,0,2,0,0,0,0,0,0,2,0,3,0.01641791044776117,0.15516385875836605,0,0,0.16059649122807018,0,0
0,0,0,0,0.05555555555555555,1,0,1,0,0,0,0,0,0,0,1,0,0.5238805970149254,0.029333025617355183,1,2,0.033169590643274856,0,0
1,0,1,0,1.0,1,1,0,1,1,1,1,1,1,2,1,0,0.7044776119402985,0.7195534271867067,0,2,0.7498947368421053,1,1
1,1,1,0,0.8055555555555555,0,0,0,0,1,1,0,0,1,0,1,2,0.2691542288557213,0.30376182783291017,1,1,0.30729824561403507,1,1
0,0,1,1,0.2222222222222222,1,0,2,0,0,0,0,0,0,0,0,2,0.021393034825870627,0.03491807062081699,0,0,0.03817543859649123,0,0
1,0,1,0,0.5972222222222222,1,0,1,1,0,1,1,0,0,1,1,0,0.6567164179104478,0.4062370182321717,0,2,0.42371345029239765,0,1
0,0,1,0,0.027777777777777776,1,1,1,0,0,1,1,1,1,0,1,2,0.8572139303482588,0.025848142164781908,1,2,0.02442105263157895,1,1
1,0,1,0,0.19444444444444442,1,0,0,0,1,1,1,1,1,2,0,3,0.6338308457711442,0.13419686129702285,0,2,0.13418713450292397,1,1
0,0,1,0,0.736111111111111,1,0,1,0,0,1,0,1,1,1,1,0,0.7621890547263681,0.574821140087699,1,2,0.5879590643274853,1,1
0,0,0,0,0.4444444444444444,1,0,2,0,0,0,0,0,0,1,0,0,0.02288557213930348,0.07336141241633971,0,0,0.07691228070175439,0,0
0,0,1,0,0.4722222222222222,1,1,2,0,0,0,0,0,0,0,0,2,0.06417910447761191,0.08786060466189707,0,0,0.09822222222222222,0,0
0,1,0,0,0.20833333333333331,1,1,1,0,0,0,0,0,0,0,1,3,0.5592039800995025,0.13003692591737828,1,2,0.1306140350877193,0,0
0,1,0,0,0.09722222222222221,1,0,1,1,0,0,0,0,0,0,0,0,0.5791044776119403,0.05594276482806371,1,2,0.06259064327485381,0,1
0,0,1,1,0.20833333333333331,1,1,1,0,1,1,0,1,1,0,1,0,0.8666666666666666,0.1777579044541888,0,2,0.18482456140350878,1,1
1,0,1,0,0.8472222222222222,1,0,2,0,0,0,0,0,0,1,1,1,0.02288557213930348,0.14230325409646896,0,0,0.1466140350877193,0,0
0,0,0,0,0.013888888888888888,0,0,0,0,1,0,0,0,0,0,0,0,0.11641791044776117,0.0012866374336487421,1,0,0.0035029239766081873,0,1
